repo,ad_price,placement,sponsor_url
libgit2/pygit2,50,repo,https://github.com/sponsors/jdavid
Sonarr/Sonarr,100,repo,https://opencollective.com/sonarr
krisk/fuse,20,both,https://patreon.com/krisk
webpack/webpack,200,both,https://opencollective.com/webpack
ankidroid/Anki-Android,10,both,https://opencollective.com/ankidroid
babel/babel,100,both,https://opencollective.com/babel
mochajs/mocha,500,both,https://opencollective.com/mochajs
11ty/eleventy,100,website,https://opencollective.com/11ty
nestjs/nest,100,both,https://opencollective.com/nest
socketio/socket.io,100,website,https://opencollective.com/socketio
zloirock/core-js,200,repo,https://opencollective.com/core-js
date-fns/date-fns,50,website,https://opencollective.com/date-fns
nolimits4web/swiper,50,both,https://opencollective.com/swiper
vuejs/core,100,both,https://opencollective.com/vuejs
playframework/playframework,1200,both,https://opencollective.com/playframework
jestjs/jest,100,both,https://opencollective.com/jest
Radarr/Radarr,10,repo,https://opencollective.com/radarr
eslint/eslint,200,repo,https://opencollective.com/eslint
bootstrap-vue/bootstrap-vue,25,repo,https://opencollective.com/bootstrap-vue
bower/bower,50,both,https://opencollective.com/bower
yiisoft/yii2,100,website,https://opencollective.com/yiisoft
remy/nodemon,399,repo,https://opencollective.com/nodemon
clojure-emacs/cider,100,repo,https://opencollective.com/cider
curl/curl,100,repo,https://opencollective.com/curl
mui/material-ui,100,repo,https://opencollective.com/mui-org
Fody/Fody,100,repo,https://opencollective.com/fody
DestinyItemManager/DIM,500,repo,https://opencollective.com/dim
jhipster/generator-jhipster,100,both,https://opencollective.com/generator-jhipster
vuejs/vue,100,both,https://opencollective.com/vuejs
crystal-lang/crystal,75,website,https://opencollective.com/crystal-lang
framework7io/framework7,50,website,https://opencollective.com/framework7
Stellarium/stellarium,100,both,https://opencollective.com/stellarium
wenzhixin/bootstrap-table,100,repo,https://opencollective.com/bootstrap-table
hlorus/CAD_Sketcher,100,website,https://opencollective.com/cadsketcher
mobxjs/mobx,100,both,https://opencollective.com/mobx
typeorm/typeorm,50,repo,https://opencollective.com/typeorm
LibreCAD/LibreCAD,100,website,https://opencollective.com/librecad
nim-lang/Nim,100,both,https://opencollective.com/nim
preactjs/preact,1000,repo,https://opencollective.com/preact
librenms/librenms,100,both,https://opencollective.com/librenms
sinonjs/sinon,100,both,https://opencollective.com/sinon
cheeriojs/cheerio,100,repo,https://opencollective.com/cheerio
kivy/kivy,100,repo,https://opencollective.com/kivy
requarks/wiki,25,repo,https://opencollective.com/wikijs
twbs/bootstrap,100,repo,https://opencollective.com/bootstrap
Lidarr/Lidarr,10,repo,https://opencollective.com/lidarr
Homebrew/brew,100,repo,https://opencollective.com/homebrew
excalidraw/excalidraw,100,both,https://opencollective.com/excalidraw
withastro/astro,100,both,https://opencollective.com/astrodotbuild
asciidoctor/asciidoctor,100,both,https://opencollective.com/asciidoctor
pixelfed/pixelfed,100,both,https://opencollective.com/pixelfed
pnpm/pnpm,1000,repo,https://opencollective.com/pnpm
laradock/laradock,150,repo,https://opencollective.com/laradock
floating-ui/floating-ui,20,repo,https://opencollective.com/floating-ui
GrapesJS/grapesjs,500,website,https://opencollective.com/grapesjs
OpenAPITools/openapi-generator,100,repo,https://opencollective.com/openapi_generator
servo/servo,100,website,https://opencollective.com/servo
GetPublii/Publii,100,both,https://opencollective.com/publii
statelyai/xstate,250,repo,https://opencollective.com/xstate
zalmoxisus/redux-devtools-extension,100,both,https://opencollective.com/redux-devtools-extension
briannesbitt/Carbon,30,website,https://opencollective.com/carbon
codex-team/editor.js,100,website,https://opencollective.com/editorjs
floccusaddon/floccus,50,repo,https://opencollective.com/floccus
cssinjs/jss,100,repo,https://opencollective.com/jss
poooi/poi,10,both,https://opencollective.com/poi
json-schema-org/json-schema-spec,20,website,https://opencollective.com/json-schema
